,,,,,,,
Id2,Total; Estimate; Total population,Female; Estimate; Total population,Male; Estimate; Total population,Percent; Age group: 20-40,Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Median family income (dollars),Percent; EDUCATIONAL ATTAINMENT - Bachelor's degree and above,Percent; Population - Asian alone
1001,17380,9149,8231,23.3,72258,25,1.77%
1002,28718,14659,14059,41.1,99963,68.3,10.63%
1003,11286,6233,5053,47.2,-,46.9,10.46%
1005,5120,2563,2557,17.1,93279,27.5,1.37%
1007,14593,7146,7447,23.8,94537,41,1.64%
1008,1160,575,585,18.2,80789,26.6,1.21%
1009,636,310,326,19.2,62250,17,0.00%
1010,3610,1950,1660,19.7,101361,40.4,0.00%
1011,1326,684,642,19.8,70568,13.9,0.90%
1012,506,220,286,17.6,63636,34,0.00%
1013,21822,10947,10875,27.9,46988,14,1.35%
1020,30893,15851,15042,22.7,66139,18.3,1.40%
1022,2611,1474,1137,27.5,72357,29.6,2.11%
1026,1066,527,539,17.9,66389,40.2,0.00%
1027,17622,9219,8403,26.4,78281,31.1,4.41%
1028,15710,8161,7549,18.2,95521,39.6,2.01%
1029,601,258,343,8.8,69167,20.5,5.99%
1030,11096,5438,5658,19.9,89056,28.7,0.69%
1031,1547,758,789,24.8,50865,22.5,0.65%
1032,626,342,284,18.9,64853,28.5,1.12%
1033,6197,3306,2891,18.1,83494,26.4,0.56%
1034,1952,909,1043,18,80000,33.1,0.41%
1035,5239,2778,2461,24.7,90583,46.2,1.45%
1036,5096,2579,2517,13.9,91027,34.6,0.00%
1037,716,324,392,13,123750,62.8,0.00%
1038,2676,1399,1277,15.2,81056,39,0.00%
1039,1532,738,794,24.2,95909,45.8,0.39%
1040,39996,21062,18934,26.9,40993,20.6,1.29%
1050,2670,1447,1223,19.3,75938,25.5,0.37%
1053,1926,868,1058,12.4,72083,35.9,2.23%
1054,1812,939,873,19.5,91696,60.5,1.05%
1056,21146,10579,10567,23.2,73364,20.4,0.63%
1057,8511,4294,4217,17.8,88229,30.1,0.31%
1060,15065,8974,6091,36.3,80324,60.3,9.08%
1062,10980,5732,5248,20.5,81500,51.6,1.92%
1063,671,656,15,54.8,-,0,13.71%
1066,0,0,0,0,-,0,#DIV/0!
1068,1796,930,866,19.8,88833,36.8,0.00%
1069,8881,4543,4338,22.5,59107,19.3,0.00%
1070,529,270,259,12.2,65227,39.5,0.00%
1071,1485,714,771,20.1,86250,25.4,0.27%
1072,1449,725,724,20.1,86250,60.2,0.97%
1073,5828,2812,3016,20.9,85313,31.5,0.00%
1074,271,133,138,42.8,96078,25.6,0.00%
1075,17705,10455,7250,23,81188,38.7,2.37%
1077,9496,4923,4573,22.9,88284,30.8,1.93%
1079,492,268,224,19.8,67083,25,0.00%
1080,2329,1238,1091,27.8,47431,15,0.43%
1081,1862,831,1031,23.3,71136,20.8,0.00%
1082,10265,5113,5152,23.4,68353,19.3,0.07%
1083,2913,1479,1434,26.9,59135,18.4,0.00%
1084,239,123,116,5,72188,42.7,0.00%
1085,40590,21131,19459,25,76008,27.5,2.21%
1086,1298,718,580,47.4,-,50,1.31%
1088,595,342,253,6.2,39028,24.5,0.00%
1089,28411,14435,13976,26.1,63940,26.9,4.32%
1092,1440,798,642,26,59489,17.9,0.00%
1093,298,123,175,28.8,90139,51.2,0.00%
1094,240,132,108,8,72250,14.9,0.00%
1095,14275,7746,6529,13.2,111503,45.5,1.68%
1096,2220,1157,1063,21.1,68348,37.6,0.99%
1097,83,61,22,28.9,39861,0,0.00%
1098,1138,590,548,17.3,77917,33.3,0.00%
1103,2340,1262,1078,35.3,19292,26.4,1.79%
1104,22833,12077,10756,25.1,39987,12.1,1.32%
1105,12664,6219,6445,33.9,20691,9.3,0.02%
1106,16079,8673,7406,16.3,113414,61.9,6.70%
1107,11071,5715,5356,28.3,30061,8.8,0.61%
1108,25551,13466,12085,28.1,37588,21.3,5.18%
1109,31503,16677,14826,29.1,37430,12.6,1.27%
1118,13762,7566,6196,23.3,70925,26.4,3.34%
1119,14946,7940,7006,27,56186,15.3,0.92%
1128,2347,1057,1290,27.4,87452,28.3,0.00%
1129,7330,3900,3430,25.8,65847,25.5,5.35%
1151,8655,4398,4257,25.2,32237,12.1,4.41%
1199,0,0,0,0,-,0,#DIV/0!
1201,45975,24458,21517,23.7,58011,26.1,1.17%
1220,8657,4478,4179,22.2,52643,20.8,0.20%
1222,875,448,427,24,80114,34.7,0.80%
1223,2399,1232,1167,17.4,64737,32.6,1.67%
1224,291,134,157,24.7,88750,33.8,31.96%
1225,3036,1512,1524,17.3,81210,20.7,0.00%
1226,7024,3440,3584,19.5,71044,26.8,0.43%
1229,170,134,36,27.6,69583,52.7,0.00%
1230,8486,4352,4134,21.1,74968,37.9,1.79%
1235,2867,1356,1511,16.8,69375,22.9,0.84%
1236,1396,770,626,17.3,58750,51.1,2.08%
1237,2599,1208,1391,23.6,79375,29,0.15%
1238,6190,3318,2872,21.5,68476,32.2,1.47%
1240,4442,2406,2036,13.8,72629,46,1.67%
1242,569,173,396,18.3,137841,55.3,0.00%
1243,267,120,147,9.8,82639,21.9,0.00%
1244,133,68,65,6,53750,42.3,0.00%
1245,821,372,449,13.2,69688,39.3,0.00%
1247,16160,8166,7994,26.8,52833,19.4,0.38%
1253,623,318,305,18.2,73750,37.6,0.00%
1254,1120,591,529,16.1,114167,49.2,0.63%
1255,886,443,443,18.4,71484,30.2,5.08%
1256,663,295,368,21.9,60625,17.6,0.00%
1257,2072,1042,1030,12.3,75789,31.9,4.20%
1258,321,178,143,9.1,88750,44.3,0.00%
1259,564,251,313,12.7,71250,40.7,1.77%
1260,157,37,120,7.6,78000,15.4,0.00%
1262,1171,616,555,20.4,43036,35.7,2.39%
1264,143,78,65,14,116875,55.4,0.00%
1266,1600,903,697,17.5,94524,44.3,0.00%
1267,7994,4454,3540,19.7,102596,55,3.68%
1270,776,388,388,10.2,90313,32.5,0.00%
1301,17843,9136,8707,24.4,57694,26.1,1.42%
1330,1439,806,633,15.8,75463,44.1,0.42%
1331,13520,6681,6839,23.8,61806,14.9,0.84%
1337,2528,1282,1246,18,67813,26.8,1.94%
1338,231,112,119,13.4,91600,67.1,0.00%
1339,1586,809,777,19.5,58828,30.7,1.32%
1340,1671,814,857,20.8,61181,26,1.56%
1341,1776,905,871,15.1,85962,52.5,0.56%
1342,1481,744,737,19.4,111731,53.6,3.31%
1343,85,51,34,14.1,46354,14.5,0.00%
1344,1471,724,747,24.8,57692,17.7,0.20%
1346,426,216,210,22.7,73375,30.8,0.70%
1347,102,53,49,35.3,36250,10.5,0.00%
1349,847,481,366,22.3,54861,33.6,1.30%
1350,105,56,49,34.3,67750,23.8,0.00%
1351,2367,1162,1205,14.6,69904,36.8,2.11%
1354,1565,839,726,19.1,81250,34.3,0.00%
1355,895,466,429,20.7,71141,42.7,0.00%
1360,3043,1454,1589,17.3,77163,38.7,0.00%
1364,7966,3848,4118,21.8,52639,15.5,0.59%
1366,1301,692,609,15.2,89375,43.1,2.23%
1367,530,267,263,15.1,57969,22.2,0.19%
1368,1051,514,537,19.6,66923,22.8,1.24%
1370,4127,2142,1985,19.4,74656,37.5,0.87%
1373,4631,2536,2095,20.5,78958,38.3,1.36%
1375,3690,1806,1884,43.1,76286,57.3,6.04%
1376,5432,3010,2422,21.8,60400,21.3,1.09%
1378,631,320,311,12.6,71000,31.1,3.17%
1379,1004,491,513,18,64118,45.3,1.99%
1420,40327,19316,21011,29.1,54505,20.5,2.96%
1430,6077,3025,3052,19.5,97692,35.3,0.00%
1431,3066,1597,1469,17.5,81583,27.7,0.52%
1432,7105,3696,3409,25.5,82933,36.1,2.32%
1434,1564,202,1362,34.5,110714,18.4,1.73%
1436,3641,2054,1587,21.1,72074,20.1,0.00%
