business.rating,business.review_count,business.is_claimed,business.name,business.categories,business.is_closed,business.location.city,business.location.neighborhoods,business.location.postal_code
4.5,240,TRUE,Piperi Mediterranean Grill,Mediterranean;Vegan;Gluten-Free,FALSE,Boston,Downtown,2108
4.5,286,FALSE,Roast Beast,Sandwiches;Burgers,FALSE,Boston,Allston/Brighton,2215
4.5,552,TRUE,Dave's Fresh Pasta,Specialty Food;Sandwiches,FALSE,Somerville,Davis Square,2144
4.5,180,FALSE,Caf̩ Rustica,Coffee & Tea;Sandwiches;Breakfast & Brunch,FALSE,Somerville,,2143
4.5,295,TRUE,Amsterdam Falafelshop,Vegetarian;Middle Eastern;Falafel,FALSE,Somerville,Davis Square,2144
4.5,251,TRUE,3 Little Figs,Cafes;Coffee & Tea;Breakfast & Brunch,FALSE,Somerville,,2143
4,1713,FALSE,Giacomo's Ristorante,Italian,FALSE,Boston,North End,2113
4.5,919,TRUE,Hungry Mother,Southern,FALSE,Cambridge,Kendall Square/MIT,2141
4.5,291,TRUE,Tenoch Mexican,Mexican,FALSE,Medford,,2155
4.5,372,TRUE,Alive & Kicking Lobsters,Seafood;Sandwiches,FALSE,Cambridge,,2139
4.5,327,FALSE,Caf̩ Mami,Japanese,FALSE,Cambridge,Porter Square,2140
4.5,47,FALSE,Souper Roll Up Cafe,Sandwiches,FALSE,Cambridge,,2141
4.5,232,TRUE,Garlic 'n Lemons,Middle Eastern;Mediterranean;Halal,FALSE,Allston,Allston/Brighton,2134
4,562,TRUE,Saus,Sandwiches;Fast Food,FALSE,Boston,,2108
4,485,FALSE,Pinocchios Pizza & Subs,Pizza;Salad;Burgers,FALSE,Cambridge,Harvard Square,2138
4.5,249,TRUE,Zo,Greek,FALSE,Boston,Downtown,2108
4.5,262,TRUE,Taco Loco,Mexican,FALSE,Somerville,,2145
4.5,110,TRUE,Leone's Sub & Pizza,Sandwiches;Pizza,FALSE,Somerville,,2145
4,206,TRUE,The Coast Caf̩,Southern;Soul Food,FALSE,Cambridge,,2139
4,823,TRUE,Highland Kitchen,American (New);Bars;Breakfast & Brunch,FALSE,Somerville,,2143
4.5,147,TRUE,Brickhouse Pizza & Grille,Pizza,FALSE,Brighton,,2135
4.5,81,TRUE,The Village Kitchen,Italian;Pizza,FALSE,Cambridge,Huron Village,2138
4,162,TRUE,Armando's Pizza & Subs,Pizza;Sandwiches,FALSE,Cambridge,Huron Village,2138
4,488,TRUE,The Salty Pig,American (New);Italian;Pizza,FALSE,Boston,Back Bay,2116
4.5,181,TRUE,Casa Razdora,Italian;Pizza,FALSE,Boston,Financial District,2109
4.5,631,TRUE,El Pel�_n Taquer�_a,Mexican;Gluten-Free;Vegetarian,FALSE,Boston,Fenway,2215
4.5,512,FALSE,Sam LaGrassa's,Sandwiches,FALSE,Boston,Downtown,2108
4.5,86,FALSE,The Shawarma Place,Fast Food;Middle Eastern,FALSE,Somerville,Davis Square,2144
4.5,60,TRUE,Capone Foods,Specialty Food;Italian,FALSE,Somerville,,2143
4.5,314,FALSE,Galleria Umberto,Pizza;Salad;Sandwiches,FALSE,Boston,North End,2113
4.5,84,TRUE,Gyro City,Greek,FALSE,Boston,Fenway,2215
4.5,41,TRUE,Panificadora Modelo,Bakeries;Coffee & Tea;Brazilian,FALSE,Somerville,,2145
4.5,454,TRUE,Avana Sushi,Japanese;Sushi Bars,FALSE,Boston,Chinatown,2111
4.5,52,TRUE,The Squeaky Beaker,Cafes;Comfort Food,FALSE,Cambridge,Kendall Square/MIT;East Cambridge,2142
5,50,TRUE,My Other Kitchen,Greek;Mediterranean,FALSE,Belmont,,2478
4,476,FALSE,Flour Bakery + Caf̩,Coffee & Tea;Bakeries;Sandwiches,FALSE,Cambridge,Kendall Square/MIT,2139
